amazon,jfarrandam@comsenz.com,2017-10-24,_Quite frankly  the results of this spring have been a disappointment. We will have a meeting in the conference room at 1:00 PM to discuss how we can improve.
apple,jdavitticr@cyberchimps.com,2017-01-23,I can't come into the office today I will be sick at home with a fever.
microsoft,mfranciscobf@nih.gov,2017-03-15,We did It everybody! We broke 100K follows on the company's youtube channel!
apple,dskeen3v@xinhuanet.com,2017-02-19,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
apple,ngherarducciep@dmoz.org,2017-01-23,You are a great addition to the company. Keep up the good work.
ea,agrenkovbo@ox.ac.uk,2017-01-18,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
ea,asiddendr@abc.net.au,2017-06-17,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
google,cclaw42@alexa.com,2017-03-11,You are a great addition to the company. Keep up the good work.
apple,cpharaohr9@spotify.com,2017-08-08,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
google,bmartijn3k@smugmug.com,2017-03-18,_Quite frankly  the results of this spring have been a disappointment. We will have a meeting in the conference room at 1:00 PM to discuss how we can improve.
amazon,ccawleybu@virginia.edu,2017-06-25,The offshore team has not responded in a week. We need to hold the team accountable for their sprint tasks.
apple,cparadisece@spotify.com,2017-04-08,Can we get some beer in the office Frank keeps on drinking all of the beer.
microsoft,ematresseiq@microsoft.com,2017-05-06,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
microsoft,rfendlenor@soup.io,2017-05-02,The offshore team has not responded in a week. We need to hold the team accountable for their sprint tasks.
microsoft,rmckennam9@ted.com,2017-08-23,We did It everybody! We broke 100K follows on the company's youtube channel!
apple,dpriestnermz@berkeley.edu,2017-11-19,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
apple,cbenoi1v@soup.io,2017-03-10,Can we get some beer in the office Frank keeps on drinking all of the beer.
amazon,cormes3o@51.la,2017-08-09,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
apple,rtottlelk@dyndns.org,2017-01-01,Can we get some beer in the office Frank keeps on drinking all of the beer.
google,dlucock8f@jugem.jp,2017-12-25,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
amazon,cputmanqe@who.int,2017-08-10,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
amazon,mbristowed@smugmug.com,2017-04-16,Can we get some beer in the office Frank keeps on drinking all of the beer.
microsoft,lpaylek6@reddit.com,2017-06-22,We did It everybody! We broke 100K follows on the company's youtube channel!
ea,lpikhnoms@go.com,2017-05-14,I can't come into the office today I will be sick at home with a fever.
microsoft,kmcdermidmv@163.com,2017-04-22,_Quite frankly  the results of this spring have been a disappointment. We will have a meeting in the conference room at 1:00 PM to discuss how we can improve.
google,cmannock3t@squarespace.com,2017-03-26,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
apple,plarkworthycm@furl.net,2017-07-13,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
ea,cfleckneyr7@indiatimes.com,2017-07-03,We are celebrating the 1000th anniversary of Googles take over of Earth. All hail Google!
google,areinertab@zdnet.com,2017-09-07,We are celebrating the 1000th anniversary of Googles take over of Earth. All hail Google!
microsoft,cbrattangh@economist.com,2017-09-10,You are a great addition to the company. Keep up the good work.
apple,vfrayneqw@bigcartel.com,2017-11-06,We did It everybody! We broke 100K follows on the company's youtube channel!
amazon,lkift4m@ucoz.ru,2017-10-18,The offshore team has not responded in a week. We need to hold the team accountable for their sprint tasks.
google,hsimnorrm@simplemachines.org,2017-01-12,_Quite frankly  the results of this spring have been a disappointment. We will have a meeting in the conference room at 1:00 PM to discuss how we can improve.
apple,emcdillif@army.mil,2017-06-18,We did It everybody! We broke 100K follows on the company's youtube channel!
google,snuttmy@cdbaby.com,2017-01-17,I can't come into the office today I will be sick at home with a fever.
ea,ejaegar6c@pinterest.com,2017-04-26,Can we get some beer in the office Frank keeps on drinking all of the beer.
google,wbranigandv@discuz.net,2017-05-12,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
ea,gjelkes3e@prweb.com,2017-09-20,You are a great addition to the company. Keep up the good work.
microsoft,drickertg3@fema.gov,2017-08-07,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
google,hcicetti2u@miitbeian.gov.cn,2017-06-02,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
google,rgarlingln@ucoz.com,2017-09-01,You are a great addition to the company. Keep up the good work.
microsoft,pbarizeretme@nhs.uk,2017-08-22,We did It everybody! We broke 100K follows on the company's youtube channel!
amazon,ispinellonh@parallels.com,2017-07-19,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
amazon,wlangleylv@w3.org,2017-12-16,The offshore team has not responded in a week. We need to hold the team accountable for their sprint tasks.
apple,pskilbeckdw@discovery.com,2017-11-20,Can we get some beer in the office Frank keeps on drinking all of the beer.
apple,rminchi8d@ebay.com,2017-10-11,We did It everybody! We broke 100K follows on the company's youtube channel!
microsoft,eivanyushkinh0@a8.net,2017-06-20,Can we get some beer in the office Frank keeps on drinking all of the beer.
apple,acarlor2@yandex.ru,2017-08-04,We did It everybody! We broke 100K follows on the company's youtube channel!
microsoft,lrennac@nasa.gov,2017-03-14,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
microsoft,gcabellcz@hatena.ne.jp,2017-09-18,I can't come into the office today I will be sick at home with a fever.
apple,mkuschaji@si.edu,2017-01-11,We are celebrating the 1000th anniversary of Googles take over of Earth. All hail Google!
microsoft,iharleyg0@quantcast.com,2017-06-01,The offshore team has not responded in a week. We need to hold the team accountable for their sprint tasks.
ea,bhammandlt@xrea.com,2017-09-17,Can we get some beer in the office Frank keeps on drinking all of the beer.
amazon,jtowlerf3@4shared.com,2017-09-14,The offshore team has not responded in a week. We need to hold the team accountable for their sprint tasks.
amazon,aspelsbury3w@hatena.ne.jp,2017-01-24,We should discuss the elephant in the room Cesar only talks about playstation VR instead of doing any work.
amazon,jlelievre4s@photobucket.com,2017-01-21,Can we get some beer in the office Frank keeps on drinking all of the beer.
amazon,sblaszkiewiczq0@samsung.com,2017-02-03,Amanda's performance has been slipping. we'll have to schedule a meeting to discuss how she can improve. 
ea,gacumq6@vimeo.com,2017-01-25,We are celebrating the 1000th anniversary of Googles take over of Earth. All hail Google!
google,vburdenb4@ifeng.com,2017-06-07,I can't come into the office today I will be sick at home with a fever.
ea,eryburnik@google.com,2017-02-21,You are a great addition to the company. Keep up the good work.
